J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -M 4 -C 0.15 ', timeTakenToBuildModel=0.08, timeTakenToTestModelOnTrainingData=0.59, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.52, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.65, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.08, timeTakenToTestModelOnTrainingData=0.7, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -M 4 -C 0.15 ', timeTakenToBuildModel=0.12, timeTakenToTestModelOnTrainingData=0.67, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.72, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.72, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.83, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -M 4 -C 0.15 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=0.75, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -J -M 4 -C 0.15 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.73, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.61, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -A -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.49, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.51, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -B -M 4 -C 0.15 ', timeTakenToBuildModel=0.07, timeTakenToTestModelOnTrainingData=0.67, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -A -M 4 -C 0.2 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=0.56, timeTakenToPerformCrossValidation=0.03, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -A -M 4 -C 0.2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.56, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -M 4 -C 0.2 ', timeTakenToBuildModel=0.05, timeTakenToTestModelOnTrainingData=0.51, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -J -M 4 -C 0.2 ', timeTakenToBuildModel=0.08, timeTakenToTestModelOnTrainingData=0.54, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
J48EvaluationMetrics{numberOfLeaves=9, sizeOfTree=17, title='J48 pruned tree', classifierOptions='Options: -O -B -A -M 4 -C 0.2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=0.71, timeTakenToPerformCrossValidation=0.04, correctlyClassifiedInstances=8120, correctlyClassifiedInstancesPercentage=99.9508, incorrectlyClassifiedInstances=4, incorrectlyClassifiedInstancesPercentage=0.0492, kappaStatistic=0.999}
