34: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 30 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=16.33, timeTakenToTestModelOnTrainingData=157.58, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
35: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 300 -M 0.2 -L 0.1 ', timeTakenToBuildModel=18.71, timeTakenToTestModelOnTrainingData=164.53, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
36: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=29.21, timeTakenToTestModelOnTrainingData=272.6, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
37: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=28.81, timeTakenToTestModelOnTrainingData=259.19, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
38: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 10 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=30.99, timeTakenToTestModelOnTrainingData=262.49, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
39: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=30.5, timeTakenToTestModelOnTrainingData=273.09, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
40: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=29.23, timeTakenToTestModelOnTrainingData=273.22, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
41: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 20 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=30.14, timeTakenToTestModelOnTrainingData=267.39, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
42: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 30 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=28.0, timeTakenToTestModelOnTrainingData=270.13, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
43: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 30 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=30.91, timeTakenToTestModelOnTrainingData=267.57, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
