title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-4 -E 700 -C 0.001 -S 4 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=41.13, timeTakenToPerformCrossValidation=0.05, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-3 -E 300 -C 0.001 -S 2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=15.87, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-4 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=28.17, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-4 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=28.49, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-4 -E 500 -C 0.001 -S 4 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=29.18, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-5 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=30.17, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-3 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=30.66, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-3 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=30.82, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-3 -E 500 -C 0.001 -S 4 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=31.86, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-4 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=31.62, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-4 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=33.21, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
